entity,module,tenant_scope,data_class,retention,invariant
IdentityLink,identity,global,CONFIDENTIAL,account_lifetime,"bhd_sub unique and immutable"
IdentityInvitation,identity,global,RESTRICTED,90_days_after_expiry,"token stored hashed and single use"
PlatformRoleAssignment,identity,global,CONFIDENTIAL,role_end_plus_7_years,"step-up for privileged changes"
Organization,access,tenant_root,CONFIDENTIAL,contractual_lifetime,"tenant_id unique"
Membership,access,organization,CONFIDENTIAL,end_plus_7_years,"active membership required"
ResourceGrant,access,organization,CONFIDENTIAL,end_plus_7_years,"resource bounded and revocable"
Plan,billing,global,PUBLIC,indefinite,"versioned commercial definition"
Subscription,billing,organization,CONFIDENTIAL,7_years,"one current subscription per organization"
PlanEntitlement,billing,global,INTERNAL,indefinite,"versioned limits"
ApiKey,access,organization,RESTRICTED,revocation_plus_2_years,"secret never stored plaintext"
Property,property,organization,CONFIDENTIAL,ownership_plus_policy,"at least one unit"
Address,property,organization,CONFIDENTIAL,property_lifetime,"country pack validated"
Unit,property,organization,CONFIDENTIAL,property_lifetime,"unit number unique within property when present"
PropertyParty,property,organization,CONFIDENTIAL,relationship_plus_7_years,"role and authority dated"
Amenity,property,global_or_org,PUBLIC,indefinite,"localized catalog key"
MediaAsset,media,organization,CONFIDENTIAL,policy_based,"original private and checksum fixed"
MediaVariant,media,organization,PUBLIC,regenerable,"watermarked public derivative"
PrivateDocument,documents,organization,RESTRICTED,legal_policy,"private signed access only"
Listing,listing,organization,PUBLIC,archive_after_end,"published only for eligible unit"
ListingTranslation,listing,organization,PUBLIC,listing_lifetime,"locale unique per listing"
Publication,listing,organization,INTERNAL,7_years,"channel status auditable"
AvailabilityBlock,availability,organization,CONFIDENTIAL,lease_plus_7_years,"no prohibited overlap per unit"
ViewingRequest,leasing,organization,CONFIDENTIAL,2_years,"minimal contact data"
Lead,leasing,organization,CONFIDENTIAL,2_years_or_consent,"purpose limited"
LeaseApplication,leasing,organization,RESTRICTED,decision_plus_7_years,"applicant grant only"
AvailabilityHold,leasing,organization,CONFIDENTIAL,2_years,"expires automatically"
Reservation,leasing,organization,CONFIDENTIAL,7_years,"single active reservation per unit window"
Lease,contracts,organization,RESTRICTED,legal_retention,"no overlapping active lease"
LeaseParty,contracts,organization,RESTRICTED,lease_retention,"authority snapshot"
ContractTemplate,contracts,organization_or_global,CONFIDENTIAL,indefinite,"versioned"
ContractTemplateVersion,contracts,organization_or_global,CONFIDENTIAL,indefinite,"immutable after use"
ContractVersion,contracts,organization,RESTRICTED,legal_retention,"executed version immutable and hashed"
SignatureEnvelope,signature,organization,RESTRICTED,contract_retention,"one evidence manifest per execution"
SignatureParticipant,signature,organization,RESTRICTED,contract_retention,"identity and party bound"
SignatureEvidence,signature,organization,RESTRICTED,contract_retention,"append only and hashed"
RentScheduleItem,finance,organization,CONFIDENTIAL,7_years,"currency equals lease currency"
Invoice,finance,organization,CONFIDENTIAL,legal_retention,"legal number never reused"
InvoiceLine,finance,organization,CONFIDENTIAL,invoice_retention,"minor units only"
PaymentAttempt,payments,organization,RESTRICTED,7_years,"idempotency key and request hash unique"
Payment,payments,organization,RESTRICTED,legal_retention,"provider reference unique"
PaymentAllocation,payments,organization,CONFIDENTIAL,legal_retention,"allocation sum cannot exceed payment"
Refund,payments,organization,RESTRICTED,legal_retention,"cumulative refunds bounded"
WebhookEvent,integration,global_or_org,RESTRICTED,2_years,"provider event unique and payload encrypted or minimized"
OutboxEvent,integration,organization,INTERNAL,1_year,"published idempotently"
MaintenanceRequest,maintenance,organization,CONFIDENTIAL,lease_plus_5_years,"requester has unit grant"
WorkOrder,maintenance,organization,CONFIDENTIAL,7_years,"assignment scoped"
VendorAssignment,maintenance,organization,CONFIDENTIAL,7_years,"vendor sees minimum data"
ThreadMessage,communication,organization,CONFIDENTIAL,case_plus_5_years,"participants authorized"
Notification,communication,identity,CONFIDENTIAL,1_year,"no secret body"
ReportJob,reports,organization,CONFIDENTIAL,90_days,"request scope frozen"
AuditEvent,audit,global_or_org,CONFIDENTIAL,7_years,"append only and redacted"
SecurityEvent,security,global,RESTRICTED,2_years,"restricted readers"
JobRun,operations,global_or_org,INTERNAL,90_days,"payload minimized"
CountryPack,localization,global,PUBLIC,indefinite,"version and effective dates"
Currency,localization,global,PUBLIC,indefinite,"ISO code and minor units immutable per version"
FxRate,finance,global_or_org,CONFIDENTIAL,7_years,"source and timestamp required"
